S.no,Question,Answer
,,"No, the CSC Shubhlabh Plan does not offer any liquidity during the first five years. You cannot withdraw or surrender your investment"
1,Can I withdraw money from the CSC Shubhlabh Plan within the first five years?,completely or partially during this period.
2,What is the IndiaFirst CSC Shubhlabh Plan?,It is a low premium insurance CSC Shubhlabh Plan that helps you build savings while providing life cover.
3,How does this CSC Shubhlabh Plan help with saving for the future ?,It helps you build a corpus through regular interest additions and ensures you are protected against life's unexpected turns.
4,What is the minimum floor rate guaranteed by the CSC Shubhlabh Plan?,The CSC Shubhlabh Plan guarantees a minimum floor rate of 1.0% per annum on the account value during the CSC Shubhlabh Plan term.
5,What modes of premium payment are available in CSC Shubhlabh Plan?,"You can pay your premium monthly, half-yearly, or yearly."
6,How long do I need to pay premiums for this CSC Shubhlabh Plan?,You can choose to pay premiums for either 10 or 15 years.
7,What happens if the life assured passes away during the CSC Shubhlabh Plan term?,A lump sum death benefit is paid to the nominee.
8,Can I enroll in this CSC Shubhlabh Plan easily?,"Yes, you can enjoy hassle-free enrollment by providing your name and Aadhar number."
9,Does the CSC Shubhlabh Plan provide any protection for my family?,"Yes, the CSC Shubhlabh Plan provides a lump sum death benefit to the nominee in case of the life assured's untimely demise."
10,Is there flexibility in premium payments in CSC Shubhlabh Plan?,"Yes, you can choose to pay premiums as per your convenience during the year."
11,Why should I save for the future in CSC Shubhlabh Plan?,Saving helps you achieve your financial goals and provides a cushion against emergencies.
12,What are the benefits of saving systematically in CSC Shubhlabh Plan?,It helps in building a corpus systematically and ensures consistent growth over time.
13,What is the purpose of the IndiaFirst CSC Shubhlabh Plan?,To help you build savings conveniently while providing life cover and ensuring financial security for your family.
14,Is this CSC Shubhlabh Plan suitable for someone looking for long-term savings?,"Yes, it is ideal for long-term savings with the flexibility to pay premiums for 10 or 15 years."
15,Can I change my premium payment mode later in CSC Shubhlabh Plan?,"The CSC Shubhlabh Plan generally allows flexibility, but you should check specific terms and conditions for changes."
16,How is the account value of the CSC Shubhlabh Plan managed?,The account value grows through guaranteed interest additions during the CSC Shubhlabh Plan term.
17,What is a corpus in the context of this CSC Shubhlabh Plan?,A corpus refers to the total savings accumulated in your account over time.
18,Is there any life cover provided in this CSC Shubhlabh Plan?,"Yes, the CSC Shubhlabh Plan includes a life cover that pays out a death benefit in case of the life assured's demise."
19,How can I secure my family’s future with this CSC Shubhlabh Plan?,"By building savings and ensuring a death benefit payout, you secure your family's financial future."
20,What documents do I need to enroll in this CSC Shubhlabh Plan?,You need to provide your name and Aadhar number for enrollment.
,,"On maturity, you receive a lump sum amount that is the higher of the total premiums paid (including top-ups and less any partial"
21,What do you receive at the end of the CSC Shubhlabh Plan term?,"withdrawals) compounded at 1% per annum, or the accumulated account value."
,,"The maturity amount is calculated as the higher of the total premiums paid (including top-ups) compounded at 1% per annum, or the"
22,How is the maturity amount calculated in CSC Shubhlabh Plan?,accumulated account value.
23,How will the maturity amount be paid in CSC Shubhlabh Plan?,The maturity amount will be paid through a bank account using NEFT or RTGS.
,,"If the life assured dies while the CSC Shubhlabh Plan is active with life cover, a lump sum amount is paid to the nominee, appointee, or legal"
,,"heir. This amount is the higher of the sum assured, 105% of total premiums paid (including top-ups), total premiums paid compounded at"
24,What happens if the life assured dies while theCSC Shubhlabh Plan is in force with life cover?,"1% per annum, or the account value."
,,"If the life assured dies while the CSC Shubhlabh Plan is in paid-up status, a lump sum amount equal to the higher of the paid-up sum"
25,What happens if the life assured dies while the CSC Shubhlabh Plan is in paid-up status?,"assured or the accumulated account value is paid to the nominee, appointee, or legal heir."
26,What is the Premium Allocation Charge in the first year in CSC Shubhlabh Plan?,The Premium Allocation Charge in the first year is 20% of the annualized premium.
27,Is there a Premium Allocation Charge for Top-Up premiums in CSC Shubhlabh Plan?,"No, there is no allocation charge on Top-Up premiums."
28,What is the Fund Management Charge under the CSC Shubhlabh Plan?,The Fund Management Charge is not applicable.
29,What is the Mortality Charge under the CSC Shubhlabh Plan?,"The Mortality Charge is expressed in rupees per 1000 sum at risk, and it is guaranteed throughout the term."
30,Is there a Discontinuance Charge?,"No, there is no Discontinuance Charge."
31,Who bears the service tax under the CSC Shubhlabh Plan?,The service tax will be borne by the policyholder.
,,"Yes, you can cancel your CSC Shubhlabh Plan during the free look period, which is within the first 15 days from receiving your CSC"
32,Can you cancel your CSC Shubhlabh Plan during the free look period?,Shubhlabh Plan details.
33,What refund do you get if you cancel yourCSC Shubhlabh Planduring the free look period?,"You will receive a refund of the premium paid minus pro-rata mortality charge, medical fees (if any), and any stamp duty paid."
,What is the death benefit if the life assured commits suicide within 12 months from the CSC Shubhlabh Plan,
34,commencement?,"The death benefit payable will be limited to 80% of the total premiums paid, including any top-up premiums paid."
,,"If the life assured commits suicide within one year of reinstatement, the higher of 80% of total premiums paid or the account value will be"
35,What happens if the life assured commits suicide within one year of reinstatement?,paid.
,,"Section 41 prohibits offering or accepting rebates of commission or premium, except as allowed by the insurer’s published prospectuses or"
36,"What does Section 41 of the Insurance Act, 1938 prohibit?",tables.
,,Section 45 allows a policy to be called into question within three years from the policy issuance on grounds of fraud or misstatement. After
37,What are the consequences of making false or incorrect submissions according to Section 45?,"three years, the policy cannot be called into question except for fraud."
38,What is the shareholding pattern of IndiaFirst Life Insurance as of the latest update?,"The shareholding pattern is Bank of Baroda – 65%, Union Bank of India – 9%, and Carmel Point Investments India Private Limited – 26%."
,,"Exclusions include suicide, war, terrorism, criminal activity, poison, service in armed forces, participation in dangerous activities, and"
39,What exclusions apply to Accidental Death Benefit?,nuclear contamination.
Can the policyholder change the frequency of premium payments during the policy term?,"Yes, the policyholder can request a change in the frequency of premium payments (yearly, half-yearly, quarterly, or monthly) during the policy term, subject to the insurer's approval."
What are the consequences of misstatement of the policyholder's age?,"If the policyholder's age is misstated, the policy terms, including the premium amount and benefits, may be adjusted accordingly."
What is the benefit of opting for the Waiver of Premium (WOP) rider?,"The WOP rider waives all future premiums in case of the policyholder's death, accidental total permanent disability, or critical illness, ensuring the policy continues without financial burden."
How does the policy manage loans if the policy is in a reduced paid-up mode?,"The policyholder can still avail of loans up to 70% of the surrender value, but the policy may be surrendered if the outstanding loan and interest exceed the surrender value."
What happens if the policyholder dies within the first policy year?,"The nominee receives the Sum Assured on Death plus accrued guaranteed additions or 105% of total premiums paid, whichever is higher."
Is there a waiting period for accidental death benefits under this policy?,"Yes, there is a 90-day waiting period for policies sourced through the POS channel; however, this waiting period is not applicable in case of death due to an accident or policy revival."
What is the maximum Sum Assured on Death (SAD) for individuals aged 46 and above?,"For individuals aged 46 and above, the SAD is 7 times the annualized premium."
What happens if the policyholder dies during the grace period?,The death benefit is paid to the nominee after deducting the unpaid premiums for the due period.
Can the policyholder change the nominee after the policy has been issued?,"Yes, the policyholder can change the nominee at any time during the policy term by submitting a request to the insurer."
"What is the free-look period, and what does it allow the policyholder to do?","The free-look period is a duration (15 or 30 days depending on how the policy was purchased) during which the policyholder can review the policy terms and cancel the policy if not satisfied, with a refund of the premium after deductions."
What is the process for surrendering the policy before the maturity date?,The policyholder must submit a written request to the insurer after the policy has acquired a surrender value; the surrender value paid will be the higher of the Guaranteed Surrender Value or Special Surrender Value.
What is the impact of taking a loan on the maturity benefit?,The loan amount along with accrued interest will be deducted from the maturity benefit at the time of policy maturity.
What is the Guaranteed Surrender Value (GSV) factor for premiums paid after the first policy year?,The GSV factor for premiums is 30% after the first policy year.
What are the key exclusions under the Waiver of Premium rider?,"Key exclusions include self-inflicted injuries, pre-existing conditions, and injuries resulting from hazardous activities."
How does inflation affect the benefits provided by this policy?,"Inflation may reduce the real value of the Sum Assured and other benefits over time, making the purchasing power of the payout lower in the future."
What happens if the policyholder surrenders the policy after three years?,"The policyholder will receive the higher of the Guaranteed Surrender Value or Special Surrender Value, and the policy will terminate."
What is the process for policy revival if it lapses?,The policyholder can revive the policy within five years by paying all due premiums along with interest and providing satisfactory health evidence.
What happens if the policyholder dies while the policy is in Reduced Paid-up mode?,The nominee will receive the Paid-up Sum Assured on Death plus accrued guaranteed additions as the death benefit.
What is the impact of the policyholder’s age on premium payments?,Premium amounts are typically higher for older policyholders due to increased risk.
What is the benefit of continuing the policy without surrendering it?,"Continuing the policy ensures that the policyholder receives full benefits, such as death benefit, maturity benefit, and guaranteed additions."
Can the policyholder request a loan if the policy is in paid-up mode?,"Yes, loans can still be availed up to 70% of the surrender value even if the policy is in paid-up mode."
What is the impact of the policyholder’s occupation on policy issuance?,"The policyholder's occupation typically does not affect the issuance of this policy, as no medical tests are required."
What is the interest rate on policy loans for FY 2021-22?,The interest rate on policy loans for FY 2021-22 is 9% per annum (simple interest).
What happens if the policyholder dies after the policy has lapsed?,No death benefit is payable if the policy has lapsed and has not been revived.
What is the process for changing the premium payment frequency?,The policyholder can submit a request to the insurer to change the premium payment frequency during the policy term.
How are guaranteed additions calculated for this policy?,"Guaranteed additions are calculated as a percentage of the total premiums paid and accrue at the end of each policy year, provided the policy is in force."
What is the impact of early policy surrender on the policyholder’s benefits?,Early surrender may result in the policyholder receiving a lower payout compared to the total premiums paid and forfeiting the full maturity and death benefits.
Can the policyholder nominate multiple beneficiaries?,"Yes, the policyholder can nominate multiple beneficiaries and specify the percentage of benefits each nominee should receive."
IndiaFirst Life Cash Back Plan,IndiaFirst Life Cash Back Plan
Questions,Answers
,"It is a non-linked, non-participating, limited premium money-back insurance plan offering periodical payouts and financial security for your"
What is the IndiaFirst Life Cash Back Plan?,family.
What are the policy term options?,"The policy term options are 9, 12, or 15 years."
What is the premium payment term for a 9-year policy?,The premium payment term for a 9-year policy is 5 years.
What premium payment modes are available?,"The available modes are monthly, quarterly, half-yearly, and yearly."
Who is the Life Assured?,"The Life Assured is the person on whose life the policy is based, and the risk cover starts from the policy's start date."
Who is the Policyholder?,The Policyholder is the person who holds the policy and can be the same person as the Life Assured or different.
Who is the Nominee?,The Nominee is the person designated to receive the death benefit in case of the Life Assured's death.
Who is the Appointee?,The Appointee is the person who receives the policy money on behalf of the Nominee if the Nominee is a minor.
When does the Risk Cover start?,The Risk Cover starts from the date of issuance of the policy.
What is the minimum premium amount for monthly payment?,The minimum monthly premium amount is ₹522.
What is the maximum maturity age?,The maximum maturity age is 70 years.
What is the minimum sum assured on maturity?,"The minimum sum assured on maturity is ₹50,000."
Is there a maximum limit for the sum assured?,"There is no maximum limit for the sum assured, subject to underwriting."
How much can you invest in this policy?,The investment amount depends on your chosen sum assured and premium payment frequency.
How is the death benefit calculated?,"The death benefit is the higher of 10 times the annualized premium or the guaranteed sum assured at maturity, plus guaranteed additions."
What is the sum assured on death?,It is the higher of 10 times the annualized premium or 105% of the total premiums paid.
What are guaranteed additions?,
,Guaranteed additions are a percentage of the annualized premium added to the policy at the end of each policy year.
What are the rates of guaranteed additions for different policy terms?,"For 9 years, it's 5%; for 12 years, it's 6%; and for 15 years, it's 7% of the annualized premium."
What are the rates of guaranteed additions for different policy terms?,"The death benefit is paid to the nominee, and the policy terminates."
What happens if the Policyholder dies but the Life Assured is a minor?,The policy ownership transfers to the surviving parent or legal guardian.
Is there a rebate for high sum assured amounts?,"Yes, the policy offers a premium rebate for higher sum assured amounts."
,"For sums between ₹1 lakh and ₹2 lakhs, the rebate is ₹6 per thousand; for sums between ₹2 lakhs and ₹5 lakhs, it's ₹9; and for sums above"
What are the rebate percentages based on the sum assured?,"₹5 lakhs, it's ₹10."
What happens during the policy term?,You receive periodical payouts based on the sum assured at maturity.
What is the payout schedule for a 9-year policy?,"For a 9-year policy, payouts occur in the 3rd, 6th, and 9th years, with 20% of the sum assured paid out at each interval."
What is the payout schedule for a 12-year policy?,"For a 9-year policy, payouts occur in the 3rd, 6th, and 9th years, with 20% of the sum assured paid out at each interval."
What is the payout schedule for a 15-year policy?,"For a 15-year policy, payouts occur in the 5th, 10th, and 15th years, with 20% of the sum assured paid out at each interval."
What do you receive at the end of the policy term?,"At the end of the policy term, you receive 60% of the sum assured at maturity along with the accumulated guaranteed additions."
What tax benefits are available under this policy?,Tax benefits may be available on premiums paid and benefits received as per prevailing tax laws.
What happens if you miss paying your premiums during the first two policy years?,The policy lapses without acquiring any paid-up value.
What happens if you stop paying premiums after two years?,"The policy acquires a paid-up value, but survival benefits and guaranteed additions will not be paid once the policy becomes paid-up."
What are the options to revive the policy?,You can revive the policy within five years by paying all unpaid premiums with interest and submitting a declaration of good health.
Is there a grace period for missed premiums?,"Yes, the grace period is 30 days for yearly, half-yearly, and quarterly premium frequencies, and 15 days for monthly premiums."
What happens if the Life Assured dies during the grace period?,The death benefit is paid to the nominee after deducting any due premiums.
Can you surrender your policy?,"Yes, you can surrender your policy after acquiring the paid-up value for an immediate cash requirement."
,The early termination value is the sum of the total premiums paid multiplied by an early termination factor and the total guaranteed addition
What is the early termination value?,multiplied by the early termination factor.
What is the surrender value?,The surrender value is the higher of the Guaranteed Surrender Value (GSV) or the Special Surrender Value (SSV).
How is the Guaranteed Surrender Value (GSV) calculated?,"GSV is calculated as a percentage of total premiums paid plus guaranteed additions, less any survival benefits already paid."
How is the Special Surrender Value (SSV) calculated?,"SSV is calculated based on the proportionate sum assured and guaranteed additions, less survival benefits already paid."
Can you cancel your policy during the Free Look Period?,"Yes, you can cancel your policy within the Free Look Period and receive a refund minus applicable deductions."
What happens if you cancel the policy during the Free Look Period?,"You receive a refund of the premium paid minus pro-rata risk premium, stamp duty, and medical examination costs."
Is there a loan facility under this policy?,"No, loan facilities are not provided under this policy."
What happens if the Life Assured commits suicide?,"If suicide occurs within 12 months of policy commencement or revival, 80% of the total premiums paid will be refunded."
Can you nominate someone for the death benefit?,"Yes, nomination is allowed as per the provisions of the Insurance Act."
Is assignment of the policy allowed?,"Yes, assignment is allowed as per the provisions of the Insurance Act."
What is the Prohibition of Rebate?,The Prohibition of Rebate prohibits offering or accepting any rebate of the premium or commission as an inducement to buy or renew a policy.
What are the consequences of violating the Prohibition of Rebate clause?,Violating this clause can result in a penalty of up to ₹10 lakhs.
What is the Fraud and Misrepresentation clause?,"Policies cannot be questioned after three years, except in cases of fraud or misrepresentation."
Can a life insurance policy be questioned after three years?,"No, a life insurance policy cannot be questioned after three years except on the grounds of fraud."
What is the maximum age for entering a 15-year policy?,The maximum age at entry for a 15-year policy is 55 years.
What is the minimum age for entering the policy?,The minimum age for entry is 15 years.
What is the minimum premium for yearly payments?,"The minimum yearly premium is ₹6,000."
What is the minimum premium for half-yearly payments?,"The minimum half-yearly premium is ₹3,071."
What is the minimum premium for quarterly payments?,"The minimum quarterly premium is ₹1,554."
What is the premium frequency factor for monthly payments?,The premium frequency factor for monthly payments is 0.0870.
What is the premium frequency factor for quarterly payments?,The premium frequency factor for quarterly payments is 0.2590.
What is the premium frequency factor for half-yearly payments?,The premium frequency factor for half-yearly payments is 0.5119.
Can you choose a different premium payment frequency after the policy has started?,"Yes, you can change the premium payment frequency by submitting a request to the insurer."
What is the maximum age for entering a 9-year policy?,The maximum age for entry is 45 years for a 9-year policy.
What is the maximum age for entering a 12-year policy?,The maximum age for entry is 50 years for a 12-year policy.
Can the policy be revived after it acquires paid-up value?,"Yes, the policy can be revived within five years from the first unpaid premium date, even after it has acquired paid-up value."
What happens to the policy after revival?,"Upon successful revival, the policy regains its original benefits, including survival and death benefits."
,"Policy revival restores full coverage, including survival benefits and the possibility of receiving bonuses or guaranteed additions."
What are the benefits of policy revival?,
Is medical examination required for policy revival?,"A medical examination may be required for policy revival, depending on the insurer's underwriting guidelines."
What is the Free Look Period for policies purchased through distance marketing?,The Free Look Period for policies purchased through distance marketing or electronic mode is 30 days.
What happens if the policy is not revived within five years?,"If the policy is not revived within five years, it will continue as a paid-up policy until maturity, death, or surrender."
What happens to the survival benefits if the policy becomes paid-up?,Survival benefits are not payable once the policy becomes paid-up.
What is the minimum guaranteed surrender value after two years of premium payments?,"The minimum guaranteed surrender value is 30% of the total premiums paid, excluding taxes and extra premiums."
How do guaranteed additions affect the maturity benefit?,Guaranteed additions increase the maturity benefit by adding a fixed percentage of the annualized premium every year.
Can you avail partial surrender of the policy?,"No, partial surrenders are not allowed under this policy."
What are the early termination factors for a 9-year policy?,"The early termination factor for premiums paid in the 1st year of a 9-year policy is 15%, and for guaranteed additions, it's 3%."
What is the guaranteed addition percentage for a 12-year policy?,"For a 12-year policy, the guaranteed addition percentage is 6% of the annualized premium."
How does the early termination value work in case of policyholder’s death?,The early termination value is paid out if the policyholder dies during the revival period or before acquiring paid-up value.
What happens if the Life Assured commits suicide after the first year of policy revival?,"In such cases, the benefit paid will be the higher of 80% of the total premiums paid or the surrender value."
What are the options available if you need immediate cash?,You can surrender the policy for the surrender value if it has acquired paid-up value after two full years of premium payments.
,"The Guaranteed Surrender Value (GSV) is a fixed percentage of the premiums paid, while the Special Surrender Value (SSV) is calculated"
How does the surrender value differ between GSV and SSV?,based on policy performance and varies with time.
How are survival benefits paid out for a 12-year policy?,"Survival benefits are paid in the 4th, 8th, and 12th years of a 12-year policy, with each payout being 20% of the sum assured."
What happens if you fail to pay premiums before the policy acquires paid-up value?,"If premiums are not paid before the policy acquires paid-up value, the policy lapses, and no benefits are payable."
Can a policy lapse be revived after five years?,"No, a policy lapse cannot be revived after five years from the date of the first unpaid premium."
What happens if the Life Assured dies after the policy becomes paid-up?,"The paid-up sum assured on death, along with accumulated guaranteed additions, will be paid to the nominee."
Can the policyholder increase the sum assured during the policy term?,"No, the sum assured cannot be increased during the policy term."
Can you change the policy term after the policy starts?,"No, the policy term cannot be changed once the policy has started."
Is there a special premium rate for female lives?,"Yes, female lives receive a premium rate with an age setback of three years for calculating premium rates."
What is the minimum age for a policyholder?,The minimum age for the policyholder is 18 years.
Can a policyholder be different from the Life Assured?,"Yes, the policyholder can be different from the Life Assured."
What happens if the policyholder dies while the Life Assured is a minor?,The policy ownership is transferred to the surviving parent or legal guardian.
What is the payout frequency during the policy term for a 15-year policy?,"For a 15-year policy, payouts occur in the 5th, 10th, and 15th years, with 20% of the sum assured being paid each time."
How is the death benefit affected by unpaid premiums?,"If the Life Assured dies during the grace period, unpaid premiums are deducted from the death benefit."
What is the impact of policy revival on the death benefit?,"Upon revival, the full death benefit is restored, including all guaranteed additions."
How does the policy provide financial security?,"The policy provides financial security through guaranteed death benefits, survival benefits, and maturity payouts."
Can you avail tax benefits under this policy?,"Yes, tax benefits are available on premiums paid and benefits received, subject to prevailing tax laws."
What are the responsibilities of the appointee?,The appointee is responsible for receiving the policy benefits on behalf of the minor nominee in case of the Life Assured’s death.
,The IRDAI prohibits the sale of insurance policies through fraudulent means and encourages consumers to lodge complaints if they receive
What are the IRDAI regulations on insurance policy sales?,suspicious calls.
What happens if the policyholder moves to a different country?,"The policy continues to remain in force, and the policyholder must ensure premiums are paid as per the chosen payment frequency."
,"Unlike traditional life insurance, the IndiaFirst Life Cash Back Plan offers regular payouts during the policy term in addition to the maturity or"
How does the IndiaFirst Life Cash Back Plan differ from traditional life insurance?,death benefits.
What is the meaning of a limited premium payment plan?,A limited premium payment plan means you pay premiums for a shorter period than the total policy term.
Does the IndiaFirst Life Cash Back Plan provide liquidity during the policy term?,"Yes, the policy provides liquidity through periodic payouts during the policy term."
What happens if the policy is surrendered before acquiring paid-up value?,"If surrendered before acquiring paid-up value, the policy terminates, and no benefits are payable."
Are there any deductions in case of policy surrender?,"Yes, surrender values may be subject to deductions, such as previously paid survival benefits."
What is the impact of revival on guaranteed additions?,"Upon revival, guaranteed additions resume as per the original policy terms."
What is the Prohibition of Rebate under the Insurance Act?,The Prohibition of Rebate prohibits accepting any commission or premium rebate as an inducement to purchase or renew a policy.
Can survival benefits be re-invested in the policy?,"No, survival benefits cannot be re-invested in the policy; they are paid directly to the policyholder."
,"If the policy is in paid-up mode, the death benefit is reduced proportionally based on the number of premiums paid versus total premiums"
How does the death benefit differ if the policy is in paid-up mode?,payable.
How are guaranteed additions calculated for a 9-year policy?,"Guaranteed additions for a 9-year policy are 5% of the annualized premium, added every year."
Can you take a loan under this policy?,"No, the IndiaFirst Life Cash Back Plan does not offer a loan facility."
,The Early Termination Factor determines the percentage of premiums paid and guaranteed additions that will be paid upon early termination of
What is the Early Termination Factor?,the policy.
,The Early Termination Value is calculated by multiplying the total premiums paid and guaranteed additions by their respective early termination
How is the Early Termination Value calculated?,factors.
What is the minimum paid-up value for a 15-year policy?,"The minimum paid-up value for a 15-year policy is the sum assured on maturity, reduced proportionally based on premiums paid."
What happens if the Life Assured dies after the policy acquires paid-up value?,The death benefit will be the paid-up sum assured along with guaranteed additions accumulated until the date of death.
Can you revive a paid-up policy?,"Yes, you can revive a paid-up policy within five years by paying all outstanding premiums with interest and fulfilling the revival requirements."
What are the Guaranteed Surrender Value (GSV) factors?,GSV factors are percentages of total premiums paid and guaranteed additions that are used to calculate the surrender value.
Can the policyholder change the premium payment mode?,"Yes, the policyholder can change the premium payment mode by submitting a request to the insurer."
How are taxes applied to this policy?,"Taxes, such as GST, are applicable on premiums and are subject to change based on government regulations."
Can you receive bonuses under this plan?,"No, since this is a non-participating plan, it does not offer bonuses. However, it provides guaranteed additions."
What are the benefits of guaranteed additions?,Guaranteed additions enhance the maturity and death benefits by adding a fixed percentage of the annualized premium every year.
What is the main benefit of periodic payouts during the policy term?,The periodic payouts provide liquidity to meet short- and medium-term financial goals.
What is the purpose of the Free Look Period?,"The Free Look Period allows you to review the policy terms and conditions and return the policy if you disagree, within 15 or 30 days."
Can you reinstate a lapsed policy after it acquires paid-up value?,"Yes, a lapsed policy can be reinstated after it acquires paid-up value, as long as it is within the revival period."
What is the grace period for half-yearly premium payments?,The grace period for half-yearly premium payments is 30 days.
What is the minimum age for entering a 9-year policy?,The minimum age for entering a 9-year policy is 15 years.
What is the maximum age for entering a 12-year policy?,The maximum age for entering a 12-year policy is 50 years.
Can you change the policy's premium payment term?,"No, the premium payment term cannot be changed once the policy is issued."
How does the policy protect against inflation?,The policy provides regular payouts and guaranteed additions that help offset the impact of inflation.
Are there any additional charges for reviving a lapsed policy?,"Yes, reviving a lapsed policy requires payment of outstanding premiums with interest and may involve a medical examination."
What happens to the policy after the grace period expires without premium payment?,"If no premiums are paid after the grace period, the policy lapses if it hasn't acquired paid-up value."
How is the maturity benefit affected if the policy becomes paid-up?,The maturity benefit is reduced proportionally based on the number of premiums paid versus the total premiums payable.
Can survival benefits be delayed?,"No, survival benefits are paid according to the payout schedule and cannot be delayed."
What is the minimum sum assured required for a policyholder to receive a rebate?,A rebate is offered for sum assured amounts of ₹1 lakh or more.
What is the rebate for a sum assured between ₹1 lakh and ₹2 lakhs?,The rebate is ₹6 per thousand of sum assured for amounts between ₹1 lakh and ₹2 lakhs.
Can the policyholder assign the policy to another person?,"Yes, the policy can be assigned to another person under the provisions of the Insurance Act."
What is the maximum age for maturity of a 15-year policy?,The maximum age for maturity of a 15-year policy is 70 years.
Does the policy offer any benefits if the premiums stop after the first year?,"No, if premiums stop after the first year and the policy hasn’t acquired paid-up value, no benefits are payable."
How do the guaranteed additions accumulate over time?,Guaranteed additions accumulate annually as a percentage of the annualized premium and are paid out with the maturity or death benefit.
What is the tax implication for survival and maturity benefits?,Survival and maturity benefits may be subject to income tax as per prevailing tax laws.
How is the sum assured on death calculated for a 15-year policy?,The sum assured on death is the higher of 10 times the annualized premium or the guaranteed sum assured on maturity.
Can policyholders request a change in nominee during the policy term?,"Yes, policyholders can change the nominee at any time during the policy term."
Does the policy offer flexibility in premium payment modes?,"Yes, you can choose from monthly, quarterly, half-yearly, or yearly premium payment modes."
How does the plan ensure financial security in case of the Life Assured's death?,"The plan provides a death benefit equal to 10 times the annualized premium or the guaranteed sum assured, whichever is higher."
What is the importance of survival benefits in this policy?,Survival benefits provide periodic liquidity during the policy term to help with financial milestones.
Can the appointee be changed if the Life Assured is a minor?,"Yes, the appointee can be changed as long as the Life Assured remains a minor."
What happens if the Life Assured dies after receiving the first survival benefit?,"In the event of death, the full death benefit is paid to the nominee, and the policy terminates."
What happens if the policy lapses before acquiring any paid-up value?,"If the policy lapses before acquiring paid-up value, no benefits are payable, and the policy terminates."
Can the policyholder convert the policy to paid-up mode?,The policy automatically converts to paid-up mode if premiums are not paid after two full years.
What is the early termination value in case of policyholder's death?,"If the policyholder dies, the early termination value will be calculated based on the total premiums paid and guaranteed additions."
What is the primary advantage of periodic payouts under this plan?,The primary advantage of periodic payouts is that they provide financial support for short- and medium-term goals during the policy term.
Can the IndiaFirst Life Cash Back Plan be purchased online?,"Yes, you can purchase the policy online through the insurer's website or authorized partners."
What are the conditions for claiming the survival benefits?,Survival benefits are automatically paid at predetermined intervals as long as the policy is in force and all due premiums have been paid.
Is there any waiting period before the policy benefits start?,"No, the policy benefits, including risk cover, start immediately from the date of issuance."
What happens to the guaranteed additions if the policy is surrendered early?,Guaranteed additions accumulated until the date of surrender will be factored into the surrender value calculation.
What happens if you decide to increase the sum assured during the policy term?,You cannot increase the sum assured during the policy term once the policy has commenced.
What documents are required to file a death claim?,"Documents typically required include the death certificate, claim form, policy documents, and identification proof of the nominee."
Can you change your premium payment frequency after the policy has started?,"Yes, you can change the premium payment frequency by submitting a formal request to the insurer."
How does the policy benefit differ between single and joint-life policies?,"The IndiaFirst Life Cash Back Plan is a single-life policy, meaning it only covers the life of the policyholder."
What happens if the policyholder moves abroad during the policy term?,"The policy remains valid, and the policyholder must continue to make premium payments as per the chosen frequency."
Are there any exclusions in the IndiaFirst Life Cash Back Plan?,"Yes, the policy does not cover death by suicide within the first 12 months of the policy commencement or revival."
Is the premium payment amount fixed for the entire term?,"Yes, the premium payment amount remains fixed for the entire premium payment term as per the policy schedule."
What options do you have if you wish to discontinue the policy?,"You can either surrender the policy or stop paying premiums, after which it will convert to a paid-up policy if at least two years’ premiums have been paid."
What is the maximum amount of coverage available under this plan?,"There is no specified maximum coverage limit, but the sum assured is subject to underwriting based on your eligibility."
How does the policy cater to changing financial needs over time?,"The policy offers periodic payouts and guaranteed additions, which provide financial liquidity at different stages to help meet changing financial needs."
What is the impact of inflation on the benefits of the IndiaFirst Life Cash Back Plan?,"While the plan provides guaranteed payouts and additions, inflation could reduce the real value of these benefits over time, as they are fixed."
Can I purchase additional riders along with this policy?,"No, the IndiaFirst Life Cash Back Plan does not offer additional riders. It is a standalone policy with built-in benefits."
Are the payouts taxable under this policy?,"The payouts, such as survival and maturity benefits, may be subject to tax as per prevailing tax laws. It's advisable to consult a tax advisor for specific guidance."
Can I use survival benefits to pay future premiums?,"No, survival benefits are paid directly to the policyholder and cannot be used to offset future premium payments."
How does the policy ensure continued coverage in the case of missed premiums?,"The policy provides a grace period for missed premiums, allowing the policyholder to make payments within this time without losing coverage."
What is the role of underwriting in determining the premium?,"Underwriting assesses the risk factors associated with the policyholder's health, age, and lifestyle to determine the premium amount and eligibility."
What happens if the nominee is a minor at the time of the claim?,"If the nominee is a minor, the appointee receives the death benefit on behalf of the minor until the nominee reaches adulthood."
Can you withdraw funds from the policy before maturity?,"No, partial withdrawals are not allowed. The policy only allows for full surrender after the required number of premiums have been paid."
Can the policy be transferred to another insurance provider?,"No, the policy cannot be transferred to another insurance provider. It remains with IndiaFirst Life throughout the policy term."
What are the benefits of maintaining the policy until maturity?,"Maintaining the policy until maturity ensures you receive the full sum assured along with guaranteed additions, providing significant financial security."
Indiafirst_life gurenteed benifit plan,,Indiafirst_life gurenteed benifit plan
Questions,,Answers
,"The IndiaFirst Life Guaranteed Benefit Plan is a non-linked, non-participating, limited premium, endowment life",
,"insurance policy.Not just this, the policy will also ensure, continuation of your life cover benefit even in case you miss to",
,pay one,
what is indiafirst life gauranteed benefit plan ?,"premium, thus protecting your family with a continued life cover for one year.",
what are the types of payment return option available in life guranteed benefit plan ?,Accomplishyourfuturegoals!ChoosefromIncomeBenefitorLumpsumBenefitoptionasperyourneed.,
